cart_item_id,option_name,option_value
1858,Size,Large
956,Color,Standard
886,Warranty,Green
3904,Edition,Standard
4954,Color,1 Year
6362,Warranty,Deluxe
3075,Warranty,Small
6959,Color,Medium
7714,Size,Small
1919,Warranty,Blue
188,Warranty,Large
532,Color,2 Year
3803,Warranty,Large
4029,Color,Medium
6221,Warranty,Green
4211,Color,Blue
6657,Warranty,2 Year
3848,Warranty,1 Year
4456,Warranty,Blue
3156,Edition,2 Year
5656,Warranty,Green
5515,Size,Small
7639,Color,Small
7772,Warranty,Deluxe
7174,Warranty,Deluxe
6166,Size,Standard
3328,Warranty,Medium
3325,Edition,Deluxe
6236,Size,Green
4792,Size,Blue
58,Size,Red
3464,Color,Deluxe
5518,Color,Red
3173,Warranty,Standard
6,Edition,Deluxe
7484,Size,2 Year
3049,Color,Medium
7907,Edition,1 Year
1450,Edition,Small
3744,Size,Standard
2713,Edition,Large
605,Color,2 Year
5046,Size,Large
4807,Warranty,1 Year
5002,Color,1 Year
4773,Size,2 Year
2182,Color,Standard
5265,Size,Blue
2673,Size,Large
6099,Edition,Large
5274,Color,Small
1457,Warranty,Standard
5881,Edition,Deluxe
1618,Edition,Blue
6967,Size,Standard
2167,Edition,Medium
974,Color,Deluxe
2974,Warranty,Blue
4431,Color,Green
6534,Color,Large
3537,Edition,Standard
4664,Size,2 Year
5015,Color,Blue
1733,Edition,Medium
4442,Size,Red
3441,Color,Green
7537,Edition,1 Year
4673,Edition,Deluxe
2998,Color,Standard
12,Color,Green
2585,Edition,Red
2115,Size,2 Year
1534,Color,1 Year
5427,Size,1 Year
435,Warranty,Small
5278,Warranty,Small
1465,Size,1 Year
1623,Edition,Blue
2549,Size,Deluxe
6780,Size,1 Year
5909,Color,Blue
2411,Color,Medium
5631,Color,Green
3839,Size,Medium
6974,Edition,Medium
1126,Size,2 Year
6681,Color,Small
3858,Color,Blue
7887,Edition,Large
6620,Edition,Blue
513,Edition,Red
3215,Warranty,Large
6455,Warranty,Medium
748,Warranty,Blue
589,Edition,Large
5582,Edition,Green
3741,Color,Blue
5145,Edition,Small
2434,Size,Medium
4398,Size,Blue
826,Color,Large
1312,Color,Blue
3219,Size,1 Year
4568,Edition,Medium
5117,Warranty,Medium
7529,Color,Red
2141,Color,Blue
7410,Warranty,Large
5552,Size,Standard
717,Color,Small
196,Edition,Blue
7886,Warranty,Red
4947,Color,Blue
7752,Size,Small
1064,Edition,Small
6250,Size,Blue
1931,Edition,Green
349,Edition,Blue
3845,Warranty,Standard
1596,Size,Small
5396,Edition,Blue
6545,Color,Standard
6924,Size,Deluxe
4670,Warranty,1 Year
1810,Edition,Medium
1316,Warranty,Standard
180,Size,2 Year
4261,Edition,Blue
3244,Size,2 Year
3122,Color,Medium
3171,Edition,Medium
679,Size,Medium
3909,Warranty,Red
846,Size,1 Year
2126,Warranty,Standard
3601,Color,Deluxe
6305,Warranty,Large
7712,Edition,Blue
7568,Color,Medium
601,Warranty,2 Year
3303,Color,2 Year
5207,Color,2 Year
3489,Color,Blue
6365,Warranty,2 Year
1621,Size,Large
5723,Warranty,Red
675,Color,Small
5367,Size,Red
2739,Color,Standard
2506,Size,1 Year
7100,Size,Medium
585,Warranty,Green
5954,Color,Large
37,Size,Green
1714,Color,Large
6296,Color,1 Year
1542,Edition,Blue
2671,Color,1 Year
399,Color,Blue
934,Color,2 Year
5021,Edition,Standard
6738,Edition,1 Year
4190,Size,1 Year
7703,Warranty,Deluxe
1222,Size,1 Year
5065,Size,2 Year
7026,Warranty,2 Year
6431,Size,Deluxe
5036,Edition,Red
3835,Color,Medium
611,Warranty,Large
4316,Warranty,2 Year
7409,Warranty,1 Year
1416,Warranty,Medium
6854,Warranty,2 Year
4300,Color,Standard
83,Size,Red
7477,Size,Red
2912,Edition,Small
1642,Warranty,Small
6574,Edition,1 Year
5069,Warranty,Medium
6652,Warranty,Large
5926,Edition,Small
45,Size,1 Year
3045,Warranty,Medium
2624,Size,Blue
5856,Warranty,Deluxe
1089,Warranty,Standard
47,Edition,Medium
4034,Edition,Blue
5307,Size,2 Year
450,Edition,Red
869,Size,Blue
5151,Color,2 Year
4012,Size,Green
5388,Warranty,Deluxe
4494,Color,Deluxe
2035,Size,2 Year
7094,Warranty,Blue
6364,Size,Deluxe
7172,Edition,Standard
1447,Color,Red
191,Color,Small
4125,Color,Medium
3232,Color,2 Year
5220,Color,Small
2591,Edition,Standard
2093,Size,Small
4815,Size,2 Year
6790,Color,Red
3276,Color,Red
7941,Warranty,Medium
4377,Size,Small
2274,Edition,2 Year
3202,Edition,Red
7119,Warranty,Deluxe
2380,Edition,Small
4350,Size,Green
3854,Size,Small
3706,Warranty,1 Year
6225,Warranty,Green
2033,Color,Red
6104,Edition,2 Year
7019,Warranty,Standard
6140,Size,Large
5645,Warranty,2 Year
6052,Warranty,Red
1282,Edition,Green
3897,Color,Deluxe
2822,Size,Blue
3050,Size,Standard
5587,Warranty,Green
1367,Warranty,Green
1630,Color,Deluxe
3730,Color,1 Year
5286,Color,Medium
6796,Size,Green
7833,Size,Red
1109,Color,Deluxe
2966,Color,Green
3795,Edition,Deluxe
2706,Warranty,1 Year
4640,Warranty,1 Year
5569,Size,Blue
6078,Color,Green
3951,Color,Medium
2766,Warranty,Blue
227,Warranty,Small
6500,Warranty,Small
7972,Edition,Red
3798,Warranty,Small
2233,Warranty,Blue
1223,Color,Medium
3671,Size,Blue
4987,Edition,2 Year
6954,Color,Deluxe
6490,Edition,Blue
7702,Edition,2 Year
481,Color,Large
2546,Edition,Standard
1727,Size,Deluxe
4244,Warranty,Small
7782,Warranty,Blue
7009,Warranty,2 Year
2740,Warranty,Green
6426,Color,2 Year
645,Edition,Large
1632,Size,Large
1279,Warranty,Large
7276,Size,Small
4096,Edition,Standard
2808,Color,Large
7914,Color,Green
2680,Edition,Medium
5392,Size,Deluxe
5387,Edition,Blue
123,Warranty,1 Year
5648,Size,1 Year
7345,Size,Green
4808,Color,Medium
6079,Edition,Red
202,Warranty,Large
4693,Edition,Standard
2062,Size,1 Year
1198,Warranty,Green
1024,Edition,Green
5158,Warranty,Large
6765,Warranty,Medium
948,Size,Standard
5838,Color,Medium
5020,Warranty,Small
2785,Color,Medium
5148,Warranty,Standard
928,Color,Green
6665,Warranty,1 Year
6223,Size,Green
6859,Size,Standard
573,Warranty,Deluxe
4056,Color,Green
7481,Color,Standard
247,Size,Blue
5314,Size,Blue
5677,Warranty,Large
3821,Warranty,Red
2302,Warranty,Medium
4284,Color,Large
3575,Edition,Standard
671,Size,Medium
4066,Color,Deluxe
2376,Edition,1 Year
1189,Edition,1 Year
4006,Warranty,Red
89,Color,2 Year
6266,Size,Small
6750,Warranty,1 Year
474,Edition,Deluxe
2102,Warranty,Large
1638,Size,2 Year
5370,Color,Large
3291,Warranty,Standard
1512,Color,Large
5951,Warranty,Large
6918,Color,Blue
4755,Size,Blue
3425,Color,Green
7574,Size,Deluxe
6871,Warranty,2 Year
7295,Warranty,Small
3789,Warranty,2 Year
4634,Warranty,Blue
5210,Warranty,Medium
3100,Size,Large
6988,Warranty,Red
6588,Color,Deluxe
3779,Size,Medium
3689,Edition,Red
4248,Size,Green
577,Color,2 Year
3594,Color,Red
1599,Edition,Red
2525,Edition,2 Year
3633,Size,Standard
1172,Size,Large
2335,Color,Green
6949,Warranty,Red
107,Color,Standard
7511,Warranty,Red
7704,Color,Standard
2928,Warranty,Deluxe
7530,Size,1 Year
4796,Warranty,Deluxe
4736,Warranty,Large
625,Warranty,Standard
3309,Size,Standard
4003,Color,1 Year
7074,Color,Deluxe
7383,Warranty,Large
5740,Size,1 Year
1013,Color,Green
3912,Edition,Green
1555,Edition,Medium
2720,Color,2 Year
6792,Size,Blue
1124,Warranty,Standard
7370,Size,2 Year
955,Edition,Large
938,Color,2 Year
2156,Edition,Large
3406,Warranty,2 Year
4593,Warranty,Red
6093,Edition,Red
1094,Warranty,Blue
5111,Size,Blue
241,Color,Blue
7741,Edition,2 Year
6729,Warranty,Small
5425,Color,Green
3971,Edition,1 Year
91,Color,Standard
4588,Edition,Small
2814,Edition,Small
2389,Color,1 Year
3872,Size,2 Year
5067,Warranty,1 Year
5872,Size,Large
7904,Edition,Green
1021,Warranty,Small
3611,Color,Large
2815,Color,Small
2489,Size,Medium
1402,Edition,Medium
5273,Size,Red
2648,Warranty,Large
6516,Size,Blue
3920,Edition,Standard
5660,Size,Standard
5772,Size,2 Year
1403,Color,Standard
1524,Edition,2 Year
1123,Warranty,1 Year
4351,Color,Small
3000,Edition,1 Year
3660,Color,Red
2670,Edition,Standard
7984,Edition,Small
172,Warranty,Medium
7178,Size,1 Year
2526,Size,Small
1641,Color,2 Year
7836,Size,1 Year
5308,Warranty,Small
5049,Size,Large
3966,Size,Medium
3668,Warranty,Medium
2325,Warranty,2 Year
458,Size,Blue
6245,Warranty,1 Year
1795,Edition,1 Year
2728,Edition,Green
7822,Edition,Large
1057,Color,Green
965,Edition,2 Year
7645,Warranty,Red
7804,Size,Standard
179,Edition,Green
7868,Warranty,1 Year
7072,Color,1 Year
6794,Edition,Blue
7742,Size,Standard
6416,Warranty,Small
5526,Color,1 Year
4409,Color,Blue
5446,Warranty,Red
3855,Edition,Green
2588,Warranty,1 Year
5048,Size,Medium
7378,Color,Deluxe
7278,Size,Deluxe
1975,Warranty,Blue
6935,Size,Deluxe
345,Warranty,Small
